日付,決算,証憑,コード,科目名,コード,補助名,コード,部門名,税コード,税率,コード,科目名,コード,補助名,コード,部門名,税コード,税率,金額,消費税,摘要,取引先,メモ,事務所メモ
2024/10/2,,,1112,普通預金,2,,    ,,810,,1142,売掛金,3191,,    ,,810,,4400,,売掛の入金　手数料売上,㈲ジョイフ,,
2024/10/4,,,1112,普通預金,2,,    ,,810,,1142,売掛金,3031,,    ,,810,,9317,,売掛の入金　手数料売上,キュービクス,,
2024/10/4,,,1112,普通預金,2,,    ,,810,,1142,売掛金,3056,,    ,,810,,14267,,売掛の入金　手数料売上,新富,,
2024/10/4,,,1112,普通預金,2,,    ,,810,,1142,売掛金,3193,,    ,,810,,6050,,売掛の入金　手数料売上,イマージアクト　キシ,,
2024/10/7,,,1112,普通預金,1,,    ,,810,,1142,売掛金,3207,,    ,,810,,14575,,売掛の入金　手数料売上,㈱アライン,,
2024/10/7,,,1112,普通預金,2,,    ,,810,,1142,売掛金,3165,,    ,,810,,2970,,売掛の入金　手数料売上,㈱リフト,,
2024/10/7,,,1112,普通預金,2,,    ,,810,,1142,売掛金,3001,,    ,,810,,1650,,売掛の入金　手数料売上,㈱あおば,,
2024/10/7,,,1112,普通預金,2,,    ,,810,,1142,売掛金,3081,,    ,,810,,14366,,売掛の入金　手数料売上,ニュータウン㈱,,
2024/10/7,,,1112,普通預金,2,,    ,,810,,1142,売掛金,3042,,    ,,810,,1408,,売掛の入金　手数料売上,さかい医院,,
2024/10/7,,,1112,普通預金,2,,    ,,810,,1142,売掛金,3125,,    ,,810,,12298,,売掛の入金　手数料売上,㈲海老民,,
2024/10/7,,,1112,普通預金,2,,    ,,810,,1142,売掛金,3084,,    ,,810,,10857,,売掛の入金　手数料売上,ハヤシ　オウスケ,,
2024/10/7,,,1112,普通預金,2,,    ,,810,,1142,売掛金,3091,,    ,,810,,1309,,売掛の入金　手数料売上,美容室コパン,,
2024/10/7,,,1112,普通預金,2,,    ,,810,,1142,売掛金,1009,,    ,,810,,550,,売掛の入金　手数料売上,二宮内科小児科クリニック,,
2024/10/7,,,6231,雑費,    ,,0,共通部門,511,10,1142,売掛金,3207,,    ,,810,,350,35,振込手数料,,,
2024/10/8,,,1112,普通預金,2,,    ,,810,,1142,売掛金,3182,,    ,,810,,13288,,売掛の入金　手数料売上,㈱メイツ電子,,
2024/10/8,,,1112,普通預金,2,,    ,,810,,1142,売掛金,3112,,    ,,810,,2618,,売掛の入金　手数料売上,やきとり山吹,,
2024/10/8,,,1112,普通預金,2,,    ,,810,,1142,売掛金,3099,,    ,,810,,6732,,売掛の入金　手数料売上,二子新地整骨院,,
2024/10/8,,,1112,普通預金,2,,    ,,810,,1142,売掛金,3044,,    ,,810,,5621,,売掛の入金　手数料売上,㈲三協エンジニアリング,,
2024/10/8,,,1112,普通預金,2,,    ,,810,,1142,売掛金,3043,,    ,,810,,5709,,売掛の入金　手数料売上,サニーサイド,,
2024/10/9,,,1112,普通預金,2,,    ,,810,,1142,売掛金,3205,,    ,,810,,19800,,売掛の入金　手数料売上,㈱ジャパンプロセス,,
