日付,補助コード,相手科目コード/科目,金額,残高
2025-10-01,2024,前期繰越,594814,594814
2025-10-10,2024,1112:普通預金,-237875,356939
2025-10-10,2024,6220:支払手数料,-385,356554
2025-10-31,2024,4103:収集運搬売上,323554,680108
2025-11-10,2024,6220:支払手数料,-385,679723
2025-11-10,2024,1112:普通預金,-356169,323554
2025-11-30,2024,4103:収集運搬売上,303754,627308
2025-12-08,2024,6220:支払手数料,-385,626923
2025-12-10,2024,1112:普通預金,-323169,303754
2025-12-31,2024,4103:収集運搬売上,293854,597608
2026-01-07,2024,6220:支払手数料,-385,597223
2026-01-09,2024,1112:普通預金,-303369,293854
2026-01-31,2024,4103:収集運搬売上,307054,600908
2026-02-10,2024,6220:支払手数料,-385,600523
2026-02-10,2024,1112:普通預金,-293469,307054
2026-02-28,2024,4103:収集運搬売上,293854,600908
2026-03-10,2024,1112:普通預金,-306669,293854
2026-03-10,2024,6220:支払手数料,-385,600523
2026-03-31,2024,4103:収集運搬売上,297154,591008
2026-04-08,2024,6220:支払手数料,-385,590623
2026-04-10,2024,1112:普通預金,-293469,297154
2026-04-30,2024,4103:収集運搬売上,290554,587708
2026-05-08,2024,1112:普通預金,-296769,290939
2026-05-10,2024,6220:支払手数料,-385,290554
2026-05-31,2024,4103:収集運搬売上,303754,594308
2026-06-10,2024,6220:支払手数料,-385,593923
2026-06-10,2024,1112:普通預金,-290169,303754
2026-06-30,2024,4103:収集運搬売上,297154,600908
2026-07-10,2024,6220:支払手数料,-385,600523
2026-07-10,2024,1112:普通預金,-303369,297154
2026-07-31,2024,4103:収集運搬売上,311454,608608
2026-08-10,2024,6220:支払手数料,-385,608223
2026-08-10,2024,1112:普通預金,-296769,311454
2026-08-31,2024,4103:収集運搬売上,304854,616308
2026-09-10,2024,6220:支払手数料,-385,615923
2025-10-01,2047,前期繰越,153054,153054
2025-10-20,2047,1112:普通預金,-153054,0
2025-10-31,2047,4103:収集運搬売上,149193,149193
2025-11-20,2047,1112:普通預金,-149193,0
2025-11-30,2047,4103:収集運搬売上,138765,138765
2025-12-22,2047,1112:普通預金,-138765,0
2025-12-31,2047,4103:収集運搬売上,141328,141328
2026-01-20,2047,1112:普通預金,-139568,1760
2026-01-20,2047,6220:支払手数料,-880,880
2026-01-22,2047,6220:支払手数料,-880,0
2026-01-31,2047,4103:収集運搬売上,88066,319517
2026-01-31,2047,4103:収集運搬売上,88066,88066
2026-01-31,2047,4103:収集運搬売上,143385,231451
2026-02-10,2047,1112:普通預金,-87824,231693
2026-02-20,2047,6220:支払手数料,-242,231451
2026-02-20,2047,1112:普通預金,-143385,88066
2026-02-28,2047,4103:収集運搬売上,132506,220572
2026-02-28,2047,4103:収集運搬売上,86735,307307
2026-03-10,2047,1112:普通預金,-88066,219241
2026-03-23,2047,1112:普通預金,-132506,86735
2026-03-31,2047,4103:収集運搬売上,155760,348733
2026-03-31,2047,4103:収集運搬売上,106238,192973
2026-04-10,2047,1112:普通預金,-86735,261998
2026-04-20,2047,1112:普通預金,-155760,106238
2026-04-30,2047,4103:収集運搬売上,306603,412841
2026-04-30,2047,4103:収集運搬売上,125240,538081
2026-05-11,2047,1112:普通預金,-106238,431843
2026-05-20,2047,1112:普通預金,-125240,306603
2026-05-31,2047,4103:収集運搬売上,99011,405614
2026-05-31,2047,4103:収集運搬売上,118756,524370
2026-06-10,2047,1112:普通預金,-306603,217767
2026-06-22,2047,1112:普通預金,-118756,99011
2026-06-30,2047,4103:収集運搬売上,98274,197285
2026-06-30,2047,4103:収集運搬売上,199166,396451
2026-07-10,2047,1112:普通預金,-99011,297440
2026-07-21,2047,1112:普通預金,-199166,98274
2026-07-31,2047,4103:収集運搬売上,95315,193589
2026-07-31,2047,4103:収集運搬売上,172370,365959
2026-08-10,2047,1112:普通預金,-98274,267685
2026-08-20,2047,1112:普通預金,-172370,95315
2026-08-31,2047,4103:収集運搬売上,90398,185713
2026-08-31,2047,4103:収集運搬売上,148401,334114
2025-10-01,2126,前期繰越,32472,32472
2025-10-31,2126,1112:普通預金,-14564,17908
2025-10-31,2126,1112:普通預金,-17248,660
2025-10-31,2126,6220:支払手数料,-660,0
2025-10-31,2126,4103:収集運搬売上,16456,16456
2025-10-31,2126,4103:収集運搬売上,15950,32406
2025-11-20,2126,1112:普通預金,-16456,15950
2025-11-28,2126,1112:普通預金,-15950,0
2025-11-30,2126,4103:収集運搬売上,13486,28710
2025-11-30,2126,4103:収集運搬売上,15224,15224
2025-12-30,2126,1112:普通預金,-28710,0
2025-12-31,2126,4103:収集運搬売上,15532,15532
2025-12-31,2126,4103:収集運搬売上,15840,31372
2025-12-31,2126,4103:収集運搬売上,15191,46563
2026-01-30,2126,1112:普通預金,-31372,15191
2026-01-31,2126,4103:収集運搬売上,16148,31339
2026-01-31,2126,4103:収集運搬売上,14608,45947
2026-02-20,2126,1112:普通預金,-15191,0
2026-02-20,2126,1112:普通預金,-30756,15191
2026-02-28,2126,4103:収集運搬売上,14300,30140
2026-02-28,2126,4103:収集運搬売上,14355,44495
2026-02-28,2126,4103:収集運搬売上,15840,15840
2026-03-23,2126,1112:普通預金,-14300,30195
2026-03-31,2126,1112:普通預金,-15840,14355
2026-03-31,2126,4103:収集運搬売上,17072,31427
2026-03-31,2126,4103:収集運搬売上,14916,46343
2026-04-20,2126,1112:普通預金,-31988,14355
2026-04-20,2126,1112:普通預金,-14355,0
2026-04-30,2126,4103:収集運搬売上,17380,17380
2026-04-30,2126,4103:収集運搬売上,15224,32604
2026-05-29,2126,1112:普通預金,-32604,0
2026-05-31,2126,4103:収集運搬売上,14300,30140
2026-05-31,2126,4103:収集運搬売上,15840,15840
2026-06-22,2126,1112:普通預金,-15840,14300
2026-06-30,2126,1112:普通預金,-14300,0
2026-06-30,2126,4103:収集運搬売上,15840,15840
2026-06-30,2126,4103:収集運搬売上,16148,31988
2026-07-21,2126,1112:普通預金,-31988,0
2026-07-31,2126,4103:収集運搬売上,16456,32912
2026-07-31,2126,4103:収集運搬売上,16456,16456
2026-08-20,2126,1112:普通預金,-32912,0
2026-08-31,2126,4103:収集運搬売上,15224,-4565
2026-08-31,2126,1112:普通預金,-19789,-19789
2026-08-31,2126,4103:収集運搬売上,14608,10043
