日付,補助コード,相手科目コード/科目,金額,残高
2027-07-01,104,前期繰越,3300,3300
2027-07-18,104,6231:雑費,-495,2805
2027-08-15,104,6231:雑費,-495,2310
2027-09-15,104,6231:雑費,-495,1815
2026-10-16,104,6231:雑費,-495,1320
2026-11-15,104,6231:雑費,-495,825
2026-12-15,104,6231:雑費,-495,330
2027-07-01,120,前期繰越,84700,84700
2027-01-30,120,6231:雑費,-440,84260
2027-07-01,122,前期繰越,2359610,2359610
2027-07-01,124,前期繰越,71698,71698
2027-07-01,127,前期繰越,420750,420750
2027-07-01,128,前期繰越,26400,26400
2027-07-31,128,6231:雑費,-605,25795
2027-08-29,128,6231:雑費,-605,25190
2027-09-29,128,6231:雑費,-605,24585
2026-10-29,128,6231:雑費,-605,23980
2026-11-29,128,6231:雑費,-605,23375
2026-12-29,128,6231:雑費,-605,22770
2027-01-29,128,6231:雑費,-605,22165
2027-02-28,128,6231:雑費,-605,21560
2027-03-28,128,6231:雑費,-605,20955
2027-04-28,128,6231:雑費,-605,20350
2027-05-28,128,6231:雑費,-605,19745
2027-06-28,128,6231:雑費,-605,19140
2027-07-01,129,前期繰越,75174,75174
2027-07-31,129,6231:雑費,-550,74624
2027-09-30,129,6231:雑費,-550,74074
2027-09-30,129,6231:雑費,-550,73524
2026-10-31,129,6231:雑費,-550,72974
2026-12-02,129,6231:雑費,-550,72424
2027-01-04,129,6231:雑費,-550,71874
2027-02-28,129,6231:雑費,-550,71324
2027-03-02,129,6231:雑費,-550,70774
2027-03-31,129,6231:雑費,-550,70224
2027-04-30,129,6231:雑費,-275,69949
2027-06-01,129,6231:雑費,-275,69674
2027-06-30,129,6231:雑費,-275,69399
2027-07-01,137,前期繰越,3300,3300
2027-07-01,143,前期繰越,564300,564300
2027-07-01,204,前期繰越,5016,5016
2027-07-01,208,前期繰越,19936,19936
2027-07-20,208,6231:雑費,-110,19826
2027-07-01,217,前期繰越,46200,46200
2027-08-29,217,6231:雑費,-550,45650
2027-09-30,217,6231:雑費,-550,45100
2026-11-28,217,6231:雑費,-550,44550
2027-01-31,217,6231:雑費,-550,44000
2027-07-01,218,前期繰越,0,0
2027-07-10,218,6231:雑費,-550,-550
2027-08-09,218,6231:雑費,-550,-1100
2027-09-10,218,6231:雑費,-550,-1650
2026-10-31,218,6231:雑費,110,-1540
2026-11-11,218,6231:雑費,-550,-2090
2026-12-29,218,6231:雑費,-550,-2640
2027-01-31,218,6231:雑費,-550,-3190
2027-07-01,219,前期繰越,183678,183678
2027-07-01,221,前期繰越,334370,334370
2027-07-01,230,前期繰越,193347,193347
2027-07-01,234,前期繰越,103180,103180
2027-07-01,241,前期繰越,23427,23427
2027-07-01,305,前期繰越,744700,744700
2027-07-01,307,前期繰越,17600,17600
2027-07-01,308,前期繰越,83050,83050
2027-09-01,308,6231:雑費,-550,82500
2027-09-30,308,6231:雑費,-385,82115
2026-10-31,308,6231:雑費,-385,81730
2026-12-01,308,6231:雑費,-385,81345
2027-01-05,308,6231:雑費,-550,80795
2027-07-01,310,前期繰越,16500,16500
2027-07-01,321,前期繰越,696900,696900
2027-07-31,321,6231:雑費,1200,698100
2027-08-29,321,6231:雑費,-600,697500
