â»ñ⁄ñº,ÉRÅ[Éh,åJâzécçÇ,éÿï˚ã‡äz,ë›ï˚ã‡äz,ìñåéécçÇ
,1,,4902922,5212233,596715
,2,341517,4153006,4257446,237077
,3,9864983,118379805,88784851,39459937
,33,0,44759,44759,0
,34,2827,23727,26554,0
,35,32142,267520,299662,0
,36,1650,0,1650,0
,39,0,51199,51199,0
,1001,271150,0,0,271150
,1002,0,20735,15950,4785
,1003,32118,28710,49900,10928
,1004,2750,7920,7590,3080
,1006,0,550,550,0
,1007,1100,54714,55814,0
,1008,5500,95546,101046,0
,1009,550,550,1100,0
,1010,0,6886,6380,506
,1011,4400,85866,92015,-1749
,1012,39050,52899,64460,27489
,1013,2750,19096,13530,8316
,1014,550,247698,253462,-5214
,1015,0,0,1540,-1540
,1017,0,38500,42900,-4400
,1019,1650,16940,18590,0
,2001,273944,2163612,2437556,0
,2010,15224,125727,140951,0
,2011,36850,247016,222497,61369
,2024,794640,2436610,2695550,535700
,2026,1177110,7053090,8277390,-47190
,2040,0,172480,172480,0
,2042,0,69300,69300,0
,2047,127248,1324031,1427442,23837
,2125,0,880,880,0
,2126,39600,127600,167200,0
,2543,34078,310453,344531,0
,2921,0,687500,687500,0
,3001,1650,15345,16995,0
,3003,0,55088,55088,0
,3006,0,360,0,360
,3007,16599,138138,154737,0
,3008,0,20152,20152,0
,3010,11550,122551,134101,0
,3011,38544,294448,332992,0
,3013,0,22341,15598,6743
,3015,0,22660,22660,0
,3017,9097,207009,216106,0
,3018,1650,48510,55770,-5610
,3020,0,3927,3927,0
,3022,1408,13112,14520,0
,3024,6039,24156,30195,0
,3025,0,6490,6490,0
,3026,15521,130504,146025,0
,3028,47597,667139,714736,0
,3029,13431,110044,123475,0
,3030,3509,10417,13926,0
,3031,9317,72864,82181,0
,3032,10417,87604,98021,0
,3033,0,3267,3267,0
,3034,42119,322938,365897,-840
,3041,20922,158455,179377,0
,3042,2816,12364,15180,0
,3043,11726,48400,60126,0
,3044,5621,46684,52305,0
,3045,31900,290851,322751,0
,3046,19206,158147,177353,0
,3047,1650,4950,6600,0
,3048,5621,46684,52305,0
,3049,8261,59356,67617,0
,3051,35585,294800,330385,0
,3052,6633,206052,212685,0
,3053,62700,278306,336171,4835
,3054,12441,97581,110022,0
,3056,14267,123629,137896,0
,3058,1408,17798,19206,0
,3059,28787,257257,286044,0
,3060,28523,283459,311982,0
,3063,0,2090,2090,0
,3065,0,3245,3245,0
,3066,5621,41613,47234,0
,3068,10450,25894,36344,0
,3069,10120,50754,60874,0
,3070,3300,27280,30580,0
,3073,6421,51040,57461,0
,3074,0,20009,20009,0
,3079,2332,50314,52646,0
,3081,14366,115016,129382,0
,3084,10857,76813,87670,0
,3086,5830,55891,61721,0
,3089,1309,0,1309,0
,3091,1309,10912,10472,1749
,3093,0,9284,9284,0
,3095,9801,82885,92686,0
,3096,11220,170962,182182,0
,3097,15114,339559,354673,0
,3098,20108,135630,155738,0
,3099,6732,41349,48081,0
,3100,0,6116,6116,0
,3102,0,3399,3399,0
,3103,1100,11220,11000,1320
,3104,1309,3927,5236,0
,3106,66671,499620,566291,0
,3107,2816,11506,14322,0
,3108,1650,15796,17446,0
,3109,5148,13662,13662,5148
,3112,2618,18975,21593,0
,3113,0,1408,1408,0
,3114,29161,228272,257433,0
,3115,0,6853,6435,418
,3118,5621,46266,51887,0
,3119,8547,59939,68486,0
,3120,6017,54945,60962,0
,3125,12298,100056,112354,0
,3126,60401,508299,570680,-1980
,3128,0,13200,13200,0
,3129,5621,47058,52679,0
,3131,77539,658823,736362,0
,3132,0,0,1870,-1870
,3134,7084,52954,60038,0
,3137,17798,128535,146333,0
,3147,90057,438141,528198,0
,3148,32604,298534,331138,0
,3158,8547,62150,70697,0
,3159,110000,881760,991760,0
,3160,0,78100,78100,0
,3162,0,2343,2343,0
,3163,18139,148170,166309,0
,3164,0,6259,6259,0
,3165,7370,35860,43230,0
,3166,0,20592,20592,0
,3167,138270,0,138270,0
,3169,5621,46063,51684,0
,3170,5621,57024,62645,0
,3172,96547,233882,301191,29238
,3173,21120,135520,157960,-1320
,3176,69300,48180,117480,0
,3177,0,5390,5390,0
,3178,1650,0,1650,0
,3179,5280,33748,39028,0
,3182,13288,108922,122210,0
,3185,44000,352000,396000,0
,3187,1980,15840,17820,0
,3190,0,14058,9900,4158
,3191,4400,13112,17512,0
,3192,34100,58355,86966,5489
,3193,6050,17303,18150,5203
,3195,0,4455,4455,0
,3196,0,24860,24860,0
,3200,333266,1341864,1508497,166633
,3201,2200,18480,20680,0
,3204,33000,264000,297000,0
,3205,39600,152350,178200,13750
,3207,14960,119680,134640,0
,3209,6248,57904,64152,0
,3210,13200,13706,26906,0
,3211,12705,50028,56023,6710
,3213,81961,152119,234080,0
,3214,0,25300,25300,0
,3226,0,20350,20350,0
,3227,0,3300,3300,0
,3228,0,29117,29117,0
,3229,0,1650,1650,0
